stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
600229.SH,2026-01-22,2026-01-26,-0.5750938145371292,6.69,6.75,6.68,城市传媒,山东,出版业,主板,L,2000-03-09 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600229/
002207.SZ,2026-01-13,2026-01-15,-0.5755246333797428,9.02,9.28,9.02,准油股份,新疆,石油开采,主板,L,2008-01-28 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/002207/
601702.SH,2026-01-28,2026-01-30,-0.5759863011363171,26.07,27.83,26.34,华峰铝业,上海,铝,主板,L,2020-09-07 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/601702/
300486.SZ,2025-12-15,2025-12-31,-0.5765738538600579,19.7,21.59,19.61,东杰智能,山西,专用机械,创业板,L,2015-06-30 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300486/
301297.SZ,2026-03-05,2026-03-09,-0.5767698776570968,35.99,36.42,35.94,富乐德,安徽,半导体,创业板,L,2022-12-30 00:00:00,S,其他,https://stockpage.10jqka.com.cn/301297/
920092.BJ,2025-12-16,2025-12-18,-0.5774664403501709,39.75,41.27,39.54,汉鑫科技,山东,软件服务,北交所,L,2021-11-15 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/920092/
300078.SZ,2025-12-30,2026-01-05,-0.5777620098434969,4.24,4.43,4.22,思创智联,浙江,软件服务,创业板,L,2010-04-30 00:00:00,N,其他,https://stockpage.10jqka.com.cn/300078/
688101.SH,2026-01-15,2026-01-19,-0.5778927155923603,17.89,18.2,17.93,三达膜,陕西,环境保护,科创板,L,2019-11-15 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688101/
002350.SZ,2026-03-10,2026-03-12,-0.5781106505060872,15.22,15.54,15.2,北京科锐,北京,电气设备,主板,L,2010-02-03 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002350/
605358.SH,2026-02-25,2026-02-27,-0.5787448409653094,41.72,42.29,41.81,立昂微,浙江,半导体,主板,L,2020-09-11 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/605358/
300818.SZ,2026-01-14,2026-01-16,-0.5790144343267176,39.07,39.7,39.01,耐普矿机,江西,专用机械,创业板,L,2020-02-12 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300818/
688653.SH,2026-03-05,2026-03-09,-0.5793881352804464,13.59,13.83,13.6,康希通信,上海,半导体,科创板,L,2023-11-17 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688653/
002570.SZ,2026-01-16,2026-01-20,-0.5800762590940866,6.33,6.5,6.34,贝因美,浙江,乳制品,主板,L,2011-04-12 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002570/
002201.SZ,2026-01-23,2026-01-27,-0.5804190385656744,14.8,16.28,15.03,九鼎新材,江苏,玻璃,主板,L,2007-12-26 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002201/
600336.SH,2026-03-05,2026-03-09,-0.5827594112386224,7.39,7.47,7.4,澳柯玛,山东,家用电器,主板,L,2000-12-29 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600336/
301522.SZ,2025-12-12,2025-12-16,-0.5842262809163417,34.26,34.68,34.3,上大股份,河北,小金属,创业板,L,2024-10-16 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301522/
300091.SZ,2025-12-30,2026-01-06,-0.5850513122759425,2.99,3.18,2.96,*ST金灵,江苏,机械基件,创业板,L,2010-06-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300091/
600105.SH,2025-12-26,2025-12-30,-0.5853527362784045,25.88,26.14,25.91,永鼎股份,江苏,通信设备,主板,L,1997-09-29 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/600105/
600100.SH,2026-02-26,2026-03-02,-0.5857512161029684,9.37,9.52,9.35,同方股份,北京,IT设备,主板,L,1997-06-27 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600100/
301005.SZ,2025-12-12,2025-12-16,-0.5858284788034079,96.78,101.7,97.5,超捷股份,上海,汽车配件,创业板,L,2021-06-01 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301005/
002792.SZ,2026-01-23,2026-01-27,-0.5865987195284699,52.17,55.25,52.7,通宇通讯,广东,通信设备,主板,L,2016-03-28 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002792/
