形态,stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
品字形,300835.SZ,2026-02-25,2026-02-27,-0.6165535057188182,89.52,91.06,89.75,龙磁科技,安徽,矿物制品,创业板,L,2020-05-25 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300835/
品字形,688237.SH,2026-02-06,2026-02-10,-0.6165986625182953,48.89,49.85,48.98,超卓航科,湖北,航空,科创板,L,2022-07-01 00:00:00,N,自然人,https://stockpage.10jqka.com.cn/688237/
品字形,603072.SH,2026-01-06,2026-01-08,-0.6176061633050303,42.37,43.02,42.5,天和磁材,内蒙,矿物制品,主板,L,2025-01-03 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603072/
品字形,300807.SZ,2026-03-05,2026-03-09,-0.6180089960674849,51.76,52.56,51.54,天迈科技,河南,软件服务,创业板,L,2019-12-19 00:00:00,N,外资,https://stockpage.10jqka.com.cn/300807/
品字形,688172.SH,2026-01-19,2026-01-21,-0.618135601118194,36.9,38.1,36.53,燕东微,北京,半导体,科创板,L,2022-12-16 00:00:00,H,企业,https://stockpage.10jqka.com.cn/688172/
品字形,002549.SZ,2025-12-12,2025-12-16,-0.6183121840012674,20.43,20.65,20.48,凯美特气,湖南,环境保护,主板,L,2011-02-18 00:00:00,S,外资,https://stockpage.10jqka.com.cn/002549/
品字形,002738.SZ,2026-02-11,2026-02-13,-0.6186102925175923,84.72,85.66,84.44,中矿资源,北京,小金属,主板,L,2014-12-30 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002738/
品字形,000558.SZ,2026-03-05,2026-03-09,-0.6206468374825606,4.68,4.76,4.7,天府文旅,四川,旅游景点,主板,L,1994-05-09 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/000558/
品字形,603601.SH,2026-01-05,2026-01-07,-0.6211542890530058,12.99,13.53,13.11,再升科技,重庆,玻璃,主板,L,2015-01-22 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603601/
品字形,603390.SH,2025-12-16,2025-12-18,-0.622500872183461,12.83,13.06,12.88,通达电气,广东,汽车配件,主板,L,2019-11-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603390/
品字形,002406.SZ,2026-03-05,2026-03-09,-0.6227521599319182,7.96,8.1,8.0,远东传动,河南,汽车配件,主板,L,2010-05-18 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002406/
品字形,301158.SZ,2026-01-23,2026-01-27,-0.6232294449429946,24.36,24.92,24.34,德石股份,山东,专用机械,创业板,L,2022-01-17 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301158/
品字形,688259.SH,2026-03-05,2026-03-09,-0.6247117442439122,38.73,39.49,38.79,创耀科技,江苏,半导体,科创板,L,2022-01-12 00:00:00,N,自然人,https://stockpage.10jqka.com.cn/688259/
